Start	Stop	Strand	Number of Genes	Genes
2052	4997	+	3	dnaN, recF, Rv0004
5240	9818	+	2	gyrB, gyrA
14089	15612	+	2	Rv0012, trpG
15590	23181	-	5	pknB, pknA, pbpA, rodA, pstP
27595	29607	+	3	Rv0023, Rv0024, Rv0025
31189	31819	+	2	Rv0027, Rv0028
32057	33553	+	2	Rv0029, Rv0030
34295	38947	+	4	bioF2, acpA, Rv0034, fadD34
42004	43365	-	2	Rv0039c, mtc28
48233	51727	-	4	Rv0044c, Rv0045c, ino1, Rv0047c
53663	57973	+	3	ponA1, Rv0051, Rv0052
59122	63020	+	4	rpsR1, rplI, Rv0057, dnaB
63200	64967	+	2	Rv0059, Rv0060
66923	72222	+	5	Rv0063, Rv0063a, Rv0064, vapB1, vapC1
76237	78896	-	2	sdaA, glyA2
80624	85168	+	4	Rv0072, Rv0073, Rv0074, Rv0075
85183	86466	-	2	Rv0076c, Rv0077c
87208	88004	-	2	Rv0078A, Rv0078B
88204	89480	+	2	Rv0079, Rv0080
89575	97601	+	8	Rv0081, Rv0082, Rv0083, hycD, hycP, hycQ, hycE, Rv0088
102815	104663	-	2	Rv0093c, Rv0094c
105324	117539	+	6	PPE1, Rv0097, fcoT, fadD10, Rv0100, nrp
137319	139673	+	3	gmhA, gmhB, hddA
148491	149224	+	2	Rv0122, Rv0123
165323	166849	+	2	Rv0138, Rv0139
171215	174758	+	3	Rv0145, Rv0146, Rv0147
174833	176668	+	2	Rv0148, Rv0149
177543	180896	-	2	PE1, PE2
181155	183198	-	2	ptbB, fadE2
183622	186479	+	3	pntAa, pntAb, pntB
187433	190439	-	2	PE3, PE4
193117	194111	+	2	Rv0163, TB18.5
196861	209672	+	12	yrbE1A, yrbE1B, mce1A, mce1B, mce1C, mce1D, lprK, mce1F, Rv0175, Rv0176, Rv0177, Rv0178
209703	214140	-	4	lprO, Rv0180c, Rv0181c, sigG
214088	218344	+	4	Rv0183, Rv0184, Rv0185, bglS
222289	224664	+	2	Rv0191, Rv0192
231647	234519	+	2	Rv0196, Rv0197
236550	237895	+	2	Rv0199, Rv0200
237892	241292	-	2	Rv0201c, mmpL11
247384	248906	-	2	Rv0207c, Rv0208c
249038	251598	+	2	Rv0209, Rv0210
253669	255950	-	2	nadR, Rv0213c
260924	264023	+	3	Rv0218, Rv0219, lipC
264067	266295	+	2	Rv0221, echA1
266301	268627	-	2	Rv0223c, Rv0224c
269834	272839	-	2	Rv0226c, Rv0227c
274306	275963	-	2	Rv0229c, php
277899	279529	+	2	Rv0232, nrdB
279605	286851	-	3	gabD1, Rv0235c, aftD
288428	289782	+	3	Rv0238, vapB24, vapC24
289812	292029	-	2	htdX, fabG4
298116	302028	-	4	Rv0247c, Rv0248c, Rv0249c, Rv0250c
302866	305809	+	2	nirB, nirD
305825	309547	-	3	cobU, cobQ1, PPE2
310294	312659	-	3	Rv0258c, Rv0259c, Rv0260c
314309	321154	-	5	aac, Rv0263c, Rv0264c, Rv0265c, oplA
328575	330325	-	2	Rv0272c, Rv0273c
339364	341906	+	2	PPE3, Rv0281
342130	353036	+	8	eccA3, eccB3, eccC3, PE5, PPE4, esxG, esxH, espG3
353083	356875	+	3	eccD3, mycP3, eccE3
358945	361155	-	2	Rv0295c, Rv0296c
363252	363778	+	2	Rv0298, Rv0299
363826	364469	+	2	vapB2, vapC2
364605	366142	+	2	Rv0302, Rv0303
383602	385149	+	2	Rv0315, Rv0316
387148	389154	+	3	pcp, Rv0320, dcd
391352	392728	+	3	Rv0324, Rv0325, Rv0326
394694	396087	-	2	Rv0329c, Rv0330c
396201	399524	+	4	Rv0331, Rv0332, Rv0333, rmlA
401873	405841	-	2	aspC, Rv0338c
409362	414238	+	3	iniB, iniA, iniC
417304	419608	+	3	Rv0347, Rv0348, Rv0349
419835	424019	+	4	dnaK, grpE, dnaJ1, hspR
424269	434679	-	2	PPE7, PPE8
434830	436769	-	2	Rv0356c, purA
436860	438297	+	2	Rv0358, Rv0359
443067	447046	-	5	Rv0365c, Rv0366c, Rv0367c, Rv0368c, Rv0369c
447147	454372	-	7	Rv0370c, Rv0371c, Rv0372c, Rv0373c, Rv0374c, Rv0375c, Rv0376c
456915	459315	-	3	Rv0381c, pyrE, Rv0383c
468335	471230	+	3	purT, Rv0390, metZ
474940	476184	+	3	Rv0395, Rv0396, Rv0397
476679	479753	-	3	Rv0398c, lpqK, fadE7
480355	483656	-	2	mmpL1, mmpS1
483977	489939	+	2	fadD30, pks6
490783	495008	+	3	fgd1, pta, ackA
495062	499619	-	3	pknG, glnH, Rv0412c
501148	503124	+	3	thiO, thiS, thiG
507132	510225	-	3	Rv0421c, thiD, thiC
510702	515816	-	2	ctpH, Rv0426c
516017	518396	-	3	xthA, Rv0428c, def
518733	522167	+	5	Rv0430, Rv0431, sodC, Rv0433, Rv0434
522347	528314	-	5	Rv0435c, pssA, psd, moeA2, Rv0439c
530296	532214	-	2	Rv0441c, PPE10
533091	534396	-	2	rskA, sigK
534445	541910	-	6	Rv0446c, ufaA1, Rv0448c, Rv0449c, mmpL4, mmpS4
545375	546803	-	2	Rv0455c, echA2
547076	547517	-	2	mazF1, mazE1
549675	554309	+	6	Rv0458, Rv0459, Rv0460, Rv0461, lpdC, Rv0463
554313	556306	-	2	Rv0464c, Rv0465c
557527	559755	+	2	icl1, fadB2
561854	563427	-	3	Rv0470A, Rv0471c, Rv0472c
563564	565443	+	2	Rv0473, Rv0474
566508	567896	+	3	Rv0476, Rv0477, deoC
567921	569806	-	2	Rv0479c, Rv0480c
570539	573065	+	2	murB, lprQ
573984	577338	+	3	Rv0485, mshA, Rv0487
581489	584690	-	3	Rv0492c, Rv0492A, Rv0493c
586394	590970	+	5	Rv0496, Rv0497, Rv0498, Rv0499, proC
591654	593867	+	2	galE2, Rv0502
593871	595302	-	2	cmaA2, Rv0504c
596759	606448	+	9	mmpS2, mmpL2, Rv0508, hemA, hemC, hemD, hemB, Rv0513, Rv0514
614835	622124	+	7	hemL, Rv0525, Rv0526, ccdA, Rv0528, ccsA, Rv0530
626457	628288	+	2	Rv0535, galE3
631743	633034	+	2	Rv0539, Rv0540
633055	635504	-	2	Rv0541c, menE
635935	637463	-	2	Rv0544c, pitA
637583	638916	-	2	Rv0546c, Rv0547c
640228	640904	-	2	vapC3, vapB3
642889	648474	+	5	Rv0552, menC, bpoC, menD, Rv0556
648536	650393	+	2	mgtA, menH
650407	652755	-	3	Rv0559c, Rv0560c, Rv0561c
654924	658039	-	3	gpdA1, Rv0565c, Rv0566c
661003	663373	+	2	Rv0569, nrdZ
665851	668394	-	2	pncB2, Rv0574c
669848	671951	+	2	Rv0576, TB27.3
677710	678329	+	2	vapB26, vapC26
684410	688035	+	4	mce2R, yrbE2A, Rv0588, mce2A
689059	694787	+	4	mce2C, mce2D, lprL, mce2F
694839	695485	-	2	vapC4, vapB4
697154	697800	-	2	vapC27, vapB27
698524	699799	-	2	Rv0601c, tcrA
699856	701189	+	2	Rv0603, lpqO
702813	704057	+	4	Rv0607, vapB28, vapC28, Rv0609A
709356	710587	+	2	Rv0614, Rv0615
710782	711407	+	2	vapB29, vapC29
715370	717059	+	3	Rv0622, vapB30, vapC30
718025	718689	+	2	vapB5, vapC5
718761	728306	-	4	Rv0628c, recD, recB, recC
731930	733325	+	3	hadA, hadB, hadC
733737	735450	+	3	secE1, nusG, rplK
736298	738149	-	2	mmaA4, mmaA3
739327	742617	-	3	mmaA1, lipG, Rv0647c
742719	747945	+	3	Rv0648, fabD2, Rv0650
748276	749241	+	2	rplJ, rplL
750000	752596	+	2	Rv0654, mkl
752984	754409	-	3	vapC6, vapB6, Rv0658c
754685	755225	-	2	mazF2, mazE2
755335	756023	-	2	vapC7, vapB7
756137	759309	+	4	atsD, vapB8, vapC8, Rv0666
759807	767320	+	2	rpoB, rpoC
769792	775574	+	6	end, lpqP, fadE8, echA4, Rv0674, echA5
775586	778905	-	2	mmpL5, mmpS5
779543	780416	-	2	Rv0679c, Rv0680c
781560	784590	+	3	rpsL, rpsG, fusA1
787099	789160	+	2	Rv0687, Rv0688
790024	791666	-	2	Rv0690c, Rv0691c
791757	794525	+	4	Rv0691A, Rv0692, Rv0693, Rv0694
795519	798372	+	2	Rv0696, Rv0697
800487	803370	+	5	rpsJ, rplC, rplD, rplW, rplB
803411	806166	+	6	rpsS, rplV, rpsC, rplP, rpmC, rpsQ
811373	812812	+	4	rplN, rplX, rplE, rpsN1
812976	817534	+	7	rpsH, rplF, rplR, rpsE, rpmD, rplO, sppA
819843	821476	-	2	fucA, serA2
821507	823594	+	2	xylB, Rv0730
824800	828892	+	5	secY, adk, mapA, sigL, rslA
833886	834946	-	2	Rv0743c, Rv0744c
835154	838052	+	2	Rv0745, PE_PGRS9
840947	841656	+	2	vapB31, vapC31
842347	845953	-	3	mmsB, fadE9, mmsA
851608	853853	+	2	phoP, phoR
854267	855826	-	2	Rv0760c, adhB
855925	860710	-	6	Rv0762c, Rv0763c, cyp51, Rv0765c, cyp123, Rv0767c
860912	863158	+	2	aldA, Rv0769
863256	865854	+	3	Rv0770, Rv0771, purD
870008	872675	+	2	purB, cyp126
878638	881040	+	2	Rv0784, Rv0785
882524	883434	+	2	Rv0787A, purQ
883451	886646	-	4	Rv0789c, Rv0790c, Rv0791c, Rv0792c
891472	893273	-	2	cfp29, Rv0799c
893318	894978	+	2	pepC, Rv0801
895820	898710	+	2	purL, Rv0804
902111	904819	+	2	purF, purM
908181	909318	-	2	Rv0814c, cysA2
909611	910842	-	2	thiX, Rv0817c
910972	912683	+	2	Rv0818, mshD
916477	918750	-	2	Rv0823c, desA1
920741	921613	-	2	kmtR, Rv0828c
924951	927610	+	2	PE_PGRS12, PE_PGRS13
932279	934031	-	2	Rv0836c, Rv0837c
934720	936389	+	2	lpqR, Rv0839
938112	940392	+	2	Rv0842, Rv0843
944938	947315	+	2	cysK2, Rv0849
951183	952711	+	2	Rv0854, far
952825	953730	+	2	Rv0856, Rv0857
955077	958455	+	2	Rv0859, fadB
962599	964294	+	4	Rv0863, moaC2, mog, moaE2
965983	967733	-	3	moaD2, moaA2, Rv0870c
973806	975937	-	2	Rv0875c, Rv0876c
978934	980509	+	3	Rv0880, Rv0881, Rv0882
982762	985530	+	2	Rv0885, fprB
988740	993455	-	3	citA, Rv0890c, Rv0891c
1000808	1002704	-	2	Rv0897c, Rv0898c
1002812	1004484	+	3	arfA, arfB, arfC
1004501	1006562	-	2	prrB, prrA
1008207	1014124	+	4	echA6, Rv0906, Rv0907, ctpE
1014681	1016171	+	3	Rv0909, Rv0910, Rv0911
1017217	1019965	-	2	Rv0913c, Rv0914c
1020058	1021643	-	2	PPE14, PE7
1024211	1025184	+	2	Rv0918, Rv0919
1027104	1029337	+	2	Rv0921, Rv0922
1029513	1032633	-	3	Rv0923c, mntH, Rv0925c
1034903	1037925	+	3	pstS3, pstC2, pstA1
1037920	1041048	-	2	pknD, pstS2
1041264	1043239	+	2	pstB, pstS1
1043299	1045222	+	2	pstC1, pstA2
1046136	1050346	+	2	ligD, Rv0939
1053765	1055008	+	2	Rv0944, Rv0945
1061964	1064051	+	2	sucC, sucD
1065127	1067445	+	2	Rv0954, Rv0955
1067561	1069776	+	2	purN, purH
1069883	1073928	+	4	Rv0958, Rv0959, vapB9, vapC9
1076196	1077835	-	3	Rv0964c, Rv0965c, Rv0966c
1078743	1081684	+	2	ctpV, Rv0970
1081775	1090175	-	6	echA7, fadE12, accA2, accD2, fadE13, Rv0976c
1096822	1099022	+	2	mprA, mprB
1099066	1101005	+	2	pepD, moaB2
1101803	1106276	+	3	Rv0986, Rv0987, Rv0988
1107443	1109171	-	3	Rv0990c, Rv0991c, Rv0992c
1110269	1112223	+	2	moeA1, rimJ
1114293	1116525	+	3	Rv0997, Rv0998, Rv0999
1128091	1130105	+	2	rpfB, ksgA
1130191	1131421	+	2	ispE, Rv1012
1133333	1134568	-	2	pth, rplY
1134785	1138060	-	3	lpqT, prsA, glmU
1138967	1143648	+	2	mfd, Rv1021
1144564	1147978	+	4	eno, Rv1024, Rv1025, Rv1026
1148427	1151686	-	2	kdpE, kdpD
1151920	1156422	+	4	kdpF, kdpA, kdpB, kdpC
1156426	1158736	-	2	trcS, trcR
1160544	1161151	-	2	esxI, esxJ
1161297	1163376	-	2	PPE15, PE8
1164572	1165499	-	2	Rv1041c, Rv1042c
1167053	1168554	+	2	Rv1044, Rv1045
1172386	1173786	+	2	Rv1049, Rv1050
1183508	1185740	+	3	Rv1060, Rv1061, Rv1062
1185741	1187323	-	2	Rv1063c, lpqV
1187435	1188393	+	2	Rv1065, Rv1066
1192510	1196092	-	3	Rv1069c, echA8, echA9
1198156	1200370	-	2	fadA3, Rv1075c
1203313	1205233	+	2	Rv1078, metB
