Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_50 vs Cond_6	qValue Cond_50 vs Cond_6
	1	1524		+	dnaA	Rv0001	-	26	51	39	292245	507295	372134	11	256	11	11	215145	308237	3	171	0.6379007511282908	1.0
	2052	3260		+	dnaN	Rv0002	-	6	8	16	73759	88776	154784	3	87	2	1	38070	33278	0	29	0.23422003502296168	1.0
	3280	4437		+	recF	Rv0003	-	3	0	2	34119	3310	20294	0	16	1	2	33506	66227	0	43	0.1751626276660754	0.8469742084715425
	4434	4997		+		Rv0004	-	0	0	0	8622	6228	0	0	8	2	0	42738	1317	1	39	0.07872281062015193	0.50144253169401
7308			5201	-	-	predicted RNA	antisense: gyrA gyrB	1049	1411	1318	11650806	13941806	12479705	260	6020	537	216	9927074	5667710	83	3698	0.6163348484416648	1.0
	5240	7267		+	gyrB	Rv0005	-	8	6	6	94665	64197	58464	1	35	1	0	21265	0	0	5	0.012266492879125093	0.11643855279620695
	7302	9818		+	gyrA	Rv0006	-	52	70	62	579590	697811	594952	10	247	24	7	457157	196869	3	129	0.7854384012635309	1.0
8582			7636	-	-	predicted RNA	antisense: gyrA	382	450	405	4251364	4447025	3841535	190	4413	203	56	3749481	1469028	64	2755	0.3320258670935167	1.0
9166			8639	-	-	predicted RNA	antisense: gyrA	213	236	205	2370099	2332210	1940588	180	4193	78	29	1447199	784678	48	2113	0.31655525309024496	1.0
9968			9344	-	-	predicted RNA	antisense: gyrA Rv0007	299	370	322	3327543	3656060	3048790	231	5350	148	52	2741182	1362602	75	3283	0.3417719066766158	1.0
	9914	10828		+		Rv0007	-	0	1	0	8684	12682	3890	0	9	0	4	0	118451	1	64	2.3780425191561978E-4	0.0033353570717395906
10887			10960	+	ileT	Rvnt01	-	0	0	0	0	0	2313	0	10	0	0	0	0	0	0	1.867422785040404E-11	1.0
11112			11184	+	alaT	Rvnt02	-	0	0	1	7196	6621	10252	4	109	0	0	4460	988	0	37	0.6652121140103242	1.0
	12311	11874		-		Rv0008c	-	4	0	2	49689	3535	18927	2	54	0	1	9751	49588	1	67	0.4621656482496374	1.0
	12468	13016		+	ppiA	Rv0009	-	12	10	16	136786	104657	156203	10	241	7	3	133817	93410	4	206	0.5957611869396889	1.0
12697			12564	-	-	predicted RNA	antisense: ppiA	61	99	80	680955	981481	758096	261	6021	46	16	853423	429983	109	4788	0.7826575329209132	1.0
13046			12952	-	-	predicted RNA	antisense: ppiA	44	48	60	490570	475813	573186	234	5401	32	13	607157	358649	114	5083	0.39903935199077184	1.0
13558	13558	13133		-		Rv0010c	-	69	83	86	772828	826374	822607	82	1894	24	6	453734	179406	17	743	0.20588014030816917	0.9384703062380712
13995	13995	13714		-		Rv0011c	-	19	33	23	218610	330246	221503	39	910	7	2	146784	55189	8	358	0.5512185992854467	1.0
	14089	14877		+		Rv0012	-	4	7	2	46588	73007	19926	2	58	5	1	101037	27677	1	81	0.8256653314156998	1.0
14914	14914	15612		+	trpG	Rv0013	-	38	34	48	428411	345173	461251	25	588	18	5	333298	138714	7	337	0.5671643017572233	1.0
	17470	15590		-	pknB	Rv0014c	-	49	60	46	548697	595566	442586	12	281	25	8	469605	224546	4	184	0.5123050396292567	1.0
	18762	17467		-	pknA	Rv0015c	-	3	6	4	38213	65600	47160	1	38	2	8	53215	213344	1	102	0.034122396273377084	0.26904433530143806
	20234	18759		-	pbpA	Rv0016c	-	8	14	13	96091	138888	131282	3	82	3	4	59958	125205	1	62	0.8598348597961779	1.0
	21640	20231		-	rodA	Rv0017c	-	8	6	10	96215	65151	101261	2	62	3	1	70435	28006	0	34	0.4303410841382784	1.0
	23181	21637		-	pstP	Rv0018c	-	1	5	3	20161	58193	31388	1	23	2	2	50622	70675	0	39	0.6821493158077103	1.0
	23737	23270		-	fhaB	Rv0019c	-	1	1	2	12468	12514	24342	1	35	0	0	10892	0	0	11	0.6912007609834842	1.0
	25444	23861		-	fhaA	Rv0020c	-	15	21	15	167059	214085	148002	4	111	5	1	109439	43492	1	48	0.9054665390359509	1.0
25644			25726	+	leuT	Rvnt03	-	0	0	0	372	8698	0	1	36	0	0	14419	0	2	86	0.6473799656051045	1.0
	26881	25913		-		Rv0021c	-	13	13	9	148076	130078	93427	5	127	5	0	101659	14827	1	60	0.746336892718768	1.0
	27442	27023		-	whiB5	Rv0022c	-	0	0	0	0	0	5047	0	4	1	0	20643	0	0	24	0.01922662525479385	0.16827142422995578
	27595	28365		+		Rv0023	-	0	0	0	0	0	0	0	0	1	0	21784	0	0	14	0.0	1.0
	28362	29207		+		Rv0024	-	2	2	0	27233	22278	7308	0	22	0	1	13900	33937	0	28	0.47938223645709305	1.0
	29245	29607		+		Rv0025	-	3	1	0	37779	14983	946	2	49	0	1	0	40856	0	56	0.46854307765215364	1.0
	29722	31068		+		Rv0026	-	11	14	16	128535	146913	152891	4	105	10	2	190248	73311	2	97	0.41195714293430397	1.0
	31189	31506		+		Rv0027	-	4	5	5	47332	59034	49579	7	163	0	2	17946	66886	2	133	0.3912445217710863	1.0
31514	31514	31819		+		Rv0028	-	5	13	18	64826	129966	172344	17	399	7	3	143049	81878	8	367	0.5660011973128024	1.0
	32057	33154		+		Rv0029	-	1	0	1	16625	8529	11198	0	11	0	0	0	21581	0	9	0.4440979845031445	1.0
