Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_0.1 vs Cond_6	qValue Cond_0.1 vs Cond_6
	1	1524		+	dnaA	Rv0001	-	34	11	26	408321	308237	249893	6	211	11	11	215145	308237	3	171	0.5253077309106788	1.0
	2052	3260		+	dnaN	Rv0002	-	11	1	15	135900	33278	140106	3	85	2	1	38070	33278	0	29	0.6868118875651749	1.0
	3280	4437		+	recF	Rv0003	-	1	2	0	17125	66227	0	0	23	1	2	33506	66227	0	43	0.5838731328724315	1.0
	4434	4997		+		Rv0004	-	0	0	0	8803	1317	0	0	5	2	0	42738	1317	1	39	0.018597191553861317	0.7376306631269853
	5240	7267		+	gyrB	Rv0005	-	2	0	7	28679	0	66542	0	15	1	0	21265	0	0	5	0.6952933445037958	1.0
5461			5387	-	-	predicted RNA	antisense: gyrB	43	8	56	518500	218780	530372	201	5634	23	8	442946	218780	101	4411	0.5196811129547886	1.0
6024			5927	-	-	predicted RNA	antisense: gyrB	55	14	74	652063	371499	695478	202	5847	22	14	415560	371499	86	4015	0.5254672114700474	1.0
6603			6351	-	-	predicted RNA	antisense: gyrB	154	17	193	1827166	459472	1797234	199	5380	63	17	1175622	459472	75	3231	0.5503278152275252	1.0
7117			6950	-	-	predicted RNA	antisense: gyrB	117	26	128	1393466	702800	1191861	223	6524	49	26	912655	702800	105	4807	0.5234520029215443	1.0
7304			7206	-	-	predicted RNA	antisense: gyrA gyrB	56	15	75	670151	402635	701808	205	5975	34	15	641493	402635	118	5273	0.5085990914246641	1.0
	7302	9818		+	gyrA	Rv0006	-	31	7	58	371320	196869	542553	5	147	24	7	457157	196869	3	129	0.5071694397333176	1.0
