Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	pValue Cond_50 vs Cond_0.1	qValue Cond_50 vs Cond_0.1
	1	1524		+	dnaA	Rv0001	-	26	51	39	292245	507295	372134	11	256	34	11	26	408321	308237	249893	6	211	0.3504603041535536	0.812308074215066
	2052	3260		+	dnaN	Rv0002	-	6	8	16	73759	88776	154784	3	87	11	1	15	135900	33278	140106	3	85	0.2702288836632195	0.7192142576355868
	3280	4437		+	recF	Rv0003	-	3	0	2	34119	3310	20294	0	16	1	2	0	17125	66227	0	0	23	0.25878626448121234	1.0
	4434	4997		+		Rv0004	-	0	0	0	8622	6228	0	0	8	0	0	0	8803	1317	0	0	5	0.5686286331341345	1.0
7308			5201	-	-	predicted RNA	antisense: gyrA gyrB	1049	1411	1318	11650806	13941806	12479705	260	6020	1093	216	1378	12931636	5667710	12831489	176	4970	0.3790683992800617	0.8392446938028854
	5240	7267		+	gyrB	Rv0005	-	8	6	6	94665	64197	58464	1	35	2	0	7	28679	0	66542	0	15	0.34474539765019657	0.8052109969967257
	7302	9818		+	gyrA	Rv0006	-	52	70	62	579590	697811	594952	10	247	31	7	58	371320	196869	542553	5	147	0.9348563243350728	1.0
8582			7636	-	-	predicted RNA	antisense: gyrA	382	450	405	4251364	4447025	3841535	190	4413	430	56	437	5091196	1469028	4072500	134	3742	0.9642713509845575	1.0
9166			8639	-	-	predicted RNA	antisense: gyrA	213	236	205	2370099	2332210	1940588	180	4193	232	29	212	2749587	784678	1976436	124	3478	0.29911600228139223	0.7560275253010579
9968			9344	-	-	predicted RNA	antisense: gyrA Rv0007	299	370	322	3327543	3656060	3048790	231	5350	329	52	344	3895254	1362602	3211329	160	4516	0.37046114754447945	0.8322290457396391
	9914	10828		+		Rv0007	-	0	1	0	8684	12682	3890	0	9	0	4	1	10729	118451	12872	0	51	1.8614856749667726E-5	5.363327518545205E-4
10887			10960	+	ileT	Rvnt01	-	0	0	0	0	0	2313	0	10	0	0	0	0	0	0	0	0	0.0	1.0
11112			11184	+	alaT	Rvnt02	-	0	0	1	7196	6621	10252	4	109	0	0	1	7427	988	12819	3	96	0.444190207912949	0.9030523579709229
	12311	11874		-		Rv0008c	-	4	0	2	49689	3535	18927	2	54	1	1	1	18088	49588	16648	1	64	0.32970754413251907	0.7875063195801199
	12468	13016		+	ppiA	Rv0009	-	12	10	16	136786	104657	156203	10	241	6	3	14	72558	93410	131914	5	180	0.7207390239999367	1.0
13713	13558	13133	12499	-		Rv0010c	-	69	83	86	772828	826374	822607	82	1894	58	6	113	693810	179406	1058563	58	1511	0.23654832919321664	0.6843005237375196
13995	13995	13714	13714	-		Rv0011c	-	19	33	23	218610	330246	221503	39	910	21	2	33	254401	55189	316010	28	739	0.41880323937059716	0.881879708438426
	14089	14877		+		Rv0012	-	4	7	2	46588	73007	19926	2	58	2	1	7	33768	27677	65797	1	53	0.31951819738564835	0.7762827512035021
14914	14914	15612		+	trpG	Rv0013	-	38	34	48	428411	345173	461251	25	588	23	5	34	273933	138714	318617	12	348	0.7817833122189489	1.0
	17470	15590		-	pknB	Rv0014c	-	49	60	46	548697	595566	442586	12	281	28	8	64	333287	224546	596436	7	204	0.4864931533457513	0.9499386456520367
	18762	17467		-	pknA	Rv0015c	-	3	6	4	38213	65600	47160	1	38	2	8	6	34662	213344	65106	1	80	0.012506258956287835	0.14241212121841823
	20234	18759		-	pbpA	Rv0016c	-	8	14	13	96091	138888	131282	3	82	8	4	5	99381	125205	50106	1	62	0.7284558006696316	1.0
	21640	20231		-	rodA	Rv0017c	-	8	6	10	96215	65151	101261	2	62	10	1	14	125515	28006	138776	2	69	0.1576855865436453	0.5933505573168253
	23181	21637		-	pstP	Rv0018c	-	1	5	3	20161	58193	31388	1	23	3	2	2	43603	70675	22819	0	29	0.21760386713258345	0.6604656273315155
	23737	23270		-	fhaB	Rv0019c	-	1	1	2	12468	12514	24342	1	35	0	0	1	8596	0	10000	0	13	0.23126756038282326	0.6798528151894325
	25444	23861		-	fhaA	Rv0020c	-	15	21	15	167059	214085	148002	4	111	17	1	22	202544	43492	206702	3	95	0.3665654254513494	0.8308470827485035
25644			25726	+	leuT	Rvnt03	-	0	0	0	372	8698	0	1	36	0	0	0	0	0	0	0	0	0.0	0.0
	26881	25913		-		Rv0021c	-	13	13	9	148076	130078	93427	5	127	8	0	8	100756	14827	80531	2	67	0.6458643713729924	1.0
	27442	27023		-	whiB5	Rv0022c	-	0	0	0	0	0	5047	0	4	0	0	0	11691	0	2553	0	11	0.30428634469478383	1.0
	27595	28365		+		Rv0023	-	0	0	0	0	0	0	0	0	0	0	2	550	0	19680	0	8	0.0	1.0
	28362	29207		+		Rv0024	-	2	2	0	27233	22278	7308	0	22	1	1	0	12998	33937	1861	0	19	0.9218225057002344	1.0
	29245	29607		+		Rv0025	-	3	1	0	37779	14983	946	2	49	0	1	0	0	40856	0	0	37	0.5238396297215746	0.98893734845854
	29722	31068		+		Rv0026	-	11	14	16	128535	146913	152891	4	105	8	2	18	100825	73311	175691	3	86	0.4951468825408973	0.9566451695535879
	31189	31506		+		Rv0027	-	4	5	5	47332	59034	49579	7	163	2	2	1	32118	66886	17340	3	121	0.6426372163619862	1.0
31514	31514	31819		+		Rv0028	-	5	13	18	64826	129966	172344	17	399	5	3	13	61210	81878	123351	9	290	0.7914366561102224	1.0
